Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer_ID,Country,Unnamed:_8,Unnamed:_9,Unnamed:_10,Unnamed:_11,TotalPrice,Year,Month,Day,Week,Quarter,DayOfWeek,Hour,Recency,Frequency,Monetary,TotalItems,AvgOrderValue,DaysSinceFirst,PurchaseCount,PurchaseRate,Lag_1,Lag_7,RollingMean7,RollingStd7,ProfitEstimate,InvoiceMonth
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,1970-01-01 00:00:00.000040148,6.95,13085,United Kingdom,0.0,0.0,0.0,0.0,83.4,1970,1,1,1,1,Thursday,0,1,8,2433.28,944,28.96761904761905,0,84,84.0,0.0,0.0,12.0,0.0,25.02,1970-01
489574,22088,PAPER BUNTING COLOURED LACE,2,1970-01-01 00:00:00.000040148,2.95,13097,United Kingdom,0.0,0.0,0.0,0.0,5.9,1970,1,1,1,1,Thursday,0,1,28,13324.1,5345,13.27101593625498,0,1004,1004.0,0.0,0.0,2.0,0.0,1.77,1970-01
489574,82567,"AIRLINE LOUNGE,METAL SIGN",2,1970-01-01 00:00:00.000040148,2.1,13097,United Kingdom,0.0,0.0,0.0,0.0,4.2,1970,1,1,1,1,Thursday,0,1,28,13324.1,5345,13.27101593625498,0,1004,1004.0,0.0,0.0,2.0,0.0,1.26,1970-01
489574,21868,POTTING SHED TEA MUG,6,1970-01-01 00:00:00.000040148,1.25,13097,United Kingdom,0.0,0.0,0.0,0.0,7.5,1970,1,1,1,1,Thursday,0,1,28,13324.1,5345,13.27101593625498,0,1004,1004.0,0.0,0.0,6.0,0.0,2.25,1970-01
489574,22138,BAKING SET 9 PIECE RETROSPOT ,4,1970-01-01 00:00:00.000040148,4.95,13097,United Kingdom,0.0,0.0,0.0,0.0,19.8,1970,1,1,1,1,Thursday,0,1,28,13324.1,5345,13.27101593625498,0,1004,1004.0,0.0,0.0,4.0,0.0,5.94,1970-01
489574,20941,FROG CANDLE,4,1970-01-01 00:00:00.000040148,1.25,13097,United Kingdom,0.0,0.0,0.0,0.0,5.0,1970,1,1,1,1,Thursday,0,1,28,13324.1,5345,13.27101593625498,0,1004,1004.0,0.0,0.0,4.0,0.0,1.5,1970-01
489574,35924,HANGING FAIRY CAKE DECORATION,3,1970-01-01 00:00:00.000040148,2.1,13097,United Kingdom,0.0,0.0,0.0,0.0,6.300000000000001,1970,1,1,1,1,Thursday,0,1,28,13324.1,5345,13.27101593625498,0,1004,1004.0,0.0,0.0,3.0,0.0,1.89,1970-01
489574,21740,COSY SLIPPER SHOES LARGE RED,3,1970-01-01 00:00:00.000040148,2.95,13097,United Kingdom,0.0,0.0,0.0,0.0,8.850000000000001,1970,1,1,1,1,Thursday,0,1,28,13324.1,5345,13.27101593625498,0,1004,1004.0,0.0,0.0,3.0,0.0,2.655,1970-01
489574,21741,COSY SLIPPER SHOES LARGE GREEN,3,1970-01-01 00:00:00.000040148,2.95,13097,United Kingdom,0.0,0.0,0.0,0.0,8.850000000000001,1970,1,1,1,1,Thursday,0,1,28,13324.1,5345,13.27101593625498,0,1004,1004.0,0.0,0.0,3.0,0.0,2.655,1970-01
489574,84288B,SET/2 BLUE  NOODLE BASKETS,1,1970-01-01 00:00:00.000040148,1.95,13097,United Kingdom,0.0,0.0,0.0,0.0,1.95,1970,1,1,1,1,Thursday,0,1,28,13324.1,5345,13.27101593625498,0,1004,1004.0,0.0,0.0,1.0,0.0,0.585,1970-01
